"id"	"researcher_name"	"application_title"	"application_summary"
"566221"	"Abhari, Abdolreza"	"Data Mining for Information Retrieval and Processing
in Web 2.0 Social Networking"	"In this proposed research program, data mining and fuzzy logic will be used to build a group of novel recommendation systems for the Web2.0 social networking sites Facebook, Twitter, YouTube, and LinkedIn.  For FaceBook and YouTube, fuzzy logic will be employed in the recommendation systems, which will be capable of providing information that is based on the correct interpretation of perception-based data existing in these sites. Therefore, the resulting recommendation systems can provide advice to the user as an additional part of a retrieval system. When in Facebook or YouTube a user says, “I usually drink Tim Horton’s coffee,” or “I like this video”, the meaning of “usually” and “like” varies among users. A fuzzy retrieval system can make relevant recommendation even when the users deploy imprecise words such as “usually,” “most,” and “often” to show their interests. For example, a fuzzy retrieval system can be built specifically for Facebook fans of Tim Horton’s, and can recommend a special cookie for the Tim Horton’s coffee drinker based upon an analysis of users’ interests to determine their favourite tastes.  As domains become more specific in Web2.0 sites (for example in LinkedIn), fuzzy relations between words can be defined and used to direct users who are sending specific search queries. For example, users in a particular network of Linkedin read specific documents that can be used for building a knowledge base that acts as the recommendation system for the users of that network. Therefore, whenever a user who is searching for a job in computer engineers’ network types the word “design,” only the related words such as “chip design” or “IC design” should be shown by the recommendation system, whereas when a job seeker who belongs to the computer scientists’ network types “design,” the suggested related words might be “algorithm design” or “software design”.  Similarly for Twitter, the recommendation systems can analyze the tweets and identify users with the same interests. Twitter has more public information than all other social networking sites; therefore, another research activity proposed for Twitter is using it as a platform for event detection. By using various data mining techniques, this research activity aims to develop a framework that effectively extracts emerging events (useful information about real happenings in the world) from the large data set of tweets.  The last part of this proposal is developing data collection and evaluation tools by using multi-agent systems. These multi-agent systems will be used as data crawlers to actively update the knowledge bases of such recommendation systems. Moreover, the multi-agent systems can also be used for validation of the proposed Information Retrieval (IR) and recommendation systems in comparison with other ontology or semantic-based search engines. Use of the multi-agent systems for evaluation purpose of IR and recommendation systems in social media sites is a novel idea that will provide two more performance metrics (i.e., distributed processing effectiveness and scalability) in addition to the common accuracy metrics (i.e., precision and recall) .  Using fuzzy logic in the above research activities for information processing of the Web2.0 sites is another new idea that has not been developed and implemented prior to this proposed research program.""561040,""Abid, Shaheem"
"566342"	"Abugharbieh, Rafeef"	"Integrative Computational Models for Multi-Modal Analysis of Structural and Functional Neuroimaging Data"	"Medical imaging constitutes one of the fastest growing specialties in healthcare accounting for 35% of the total medical devices market. The global market for diagnostic imaging was estimated at over $20 billion in 2010 and is projected to exceed $26 billion by 2016 [1]. Ubiquitous access to increasingly cost effective non-invasive imaging technologies enabled unprecedented rates of patient data acquisition. With over 5 billion investigations recorded worldwide by 2010 [2], the proliferation of medical imaging continues to be fueled by increasing population age, widening range of diagnostic imaging applications, continuing technical advancements in safe imaging modalities, and increased emphasis on preventive care. For example, in Canada, over 1.7 million magnetic resonance imaging (MRI) scans were acquired in 2012 alone; double the number of such scans in 2003 [3]. The medical imaging revolution however came at a price; a deluge of multi-dimensional high-resolution data posing serious health informatics challenges. The emerging trend is the fusion of different modalities that requires very efficient analysis of massive amounts of imaging data for diagnostic and therapeutic purposes. Fusion technologies and automated image analysis are the major drivers of the global medical image analysis software market, which is expected to grow at a rate of over 7% from 2012 to 2017 to reach $2.4 billion [1]. With over one billion people worldwide (that is one in six humans) estimated to be affected by some brain or nervous system disorder [4], neuroimaging is one of the most important application areas. Brain diseases such as Alzheimer’s disease (AD) and other dementia, mood disorders, schizophrenia, epilepsy, Parkinson’s disease (PD), multiple sclerosis (MS), attention or sensory disorders, among many others, pose serious effects on human health. The prevalence of such diseases continues to increase especially with the world’s ageing demographic and increased life expectancy. In fact, due to their significant disease burden, including the huge associated economic and societal costs, the World Health Organization (WHO) pinpoints neurological disorders as one of the greatest threats to public health [5]. The inherent complexity of captured human brain anatomy and function renders neuroimaging heavily reliant on advanced computational analysis. In the 2013 report summarizing the outcomes of the NSF (National Science Foundation) Workshop on Mapping and Engineering the Brain, neuroimaging was identified as one of the grand challenges requiring new enabling technologies, better knowledge transfer, and multi- and trans-disciplinary research [6]. My proposed research is thus very timely and builds on my very strong record in this area of computational neuroimaging. My plan focuses on solving challenging computational processing and analysis problems associated with the synergistic use of multi-modal brain images. Specifically, I will develop novel paradigms for the analysis of high spatial resolution structural and functional neuroimaging data (mainly MRI) as well as combine such analyses with high temporal resolution brain signals such as Electroencephalography (EEG). My specific objectives include the development of novel integrative computational models of multi-modal neuroimaging data, use of machine learning approaches to capture and quantify the brain’s complex structure and function and elucidate their interplay, integration of anatomical and physiological information within a single unified analysis framework, discovery of novel image based biomarkers of neurological disease, and creation of practical tools and software applications for specific real life neurological disease contexts such as Alzheimer’s, Parkinson’s and stroke.""558537,""Abukhdeir, NasserMohieddin"
"566773"	"Adams, Bram"	"Empirical Analysis of Build System Smells and Refactorings"	"A build system is the infrastructure that transforms the (textual) source code of a software system into an executable program by invoking configurators, preprocessors, compilers, test harnesses, packaging and deployment tools in the correct order. Because this transformation is fundamental, most software development stakeholders interact with the build system on a daily basis. For example, developers use it to obtain an executable to run unit tests on a new feature or bug fix. The build system also enables continuous integration servers to automatically build and test whenever a developer checks in a software change. Finally, the recent trend of continuous delivery, where companies like Intuit, Mozilla and Google release new versions of their software in a couple of days or even hours, requires a powerful, flexible and highly performant build system! However, real-life build systems in industry and open source are quite the opposite: large, monolithic build specification files in '70s era technology (like ""make""), hardly understood by any developer, fully at the mercy of one talented project member. Even though the source code evolves constantly, adapting the build system to these changing requirements is hard and often results in patched-up versions of the existing build architecture. The latter problem is due to the rigid build system architecture, the developers' unfamiliarity with (often arcane) build technology like ""make"", and the low priority of build system changes for unsuspecting project managers. Hence, the build system becomes more complex and less performant, with team members getting frustrated and tampering with code dependencies to speed up builds. Such tampering in turn introduces other side-effects like inconsistent build errors or unpredictable build performance. The main goal of my research program is to derive a set of patterns and best practices for build system maintenance that will enable any software development stakeholder to maintain their build system (e.g., ""make"" or ""ant"" files) in a systematic, disciplined, quantifiable way. In particular, this program aims to compile catalogues of bad smells (indicators of a potential quality issue) and refactorings of the build system (and related entities), and to build developer support to recommend applicable refactorings and perform refactorings selected by the stakeholder. The catalogues will be based on interviews with open source developers and build system engineers, as well as large-scale empirical analyses of thousands of open source systems using three generations of build system technologies. We will also perform user studies with open source and industry participants to validate our IDE support. Given the central role of the build system in software development, our research results will be directly applicable by the Canadian industry, providing competitive advantage to both large software companies, like IBM and RIM, and smaller SMEs. In particular, companies will be able to enhance their dashboards with crucial, but currently missing indicators of the health of their build system. The identified patterns and best practices will provide a succinct vocabulary and methodology for all build system stakeholders to discuss and treat build system problems effectively. Above all, our results will allow practitioners to systematically integrate their build system into a successful continuous delivery process. The research plan will train 4 High Quality Personnel (HQP), i.e., 2 PhD and 2 Master students, who will gain extensive hands-on experience with empirical research techniques and industry-grade build systems. This training qualifies them for the demanding and much sought after roles of build and release engineers for large-scale software systems.""547373,""Adams, Carl"
"555196"	"Ahmed, HazemRadwanA"	"Predicting Cancer-related Protein-Protein Interactions using Particle Swarm-based Network Alignment"	"Protein-Protein Interactions (PPIs), Protein Interaction Prediction, Interaction Network Alignment, Breast Cancer-Related Proteins, Bioinformatics, Particle Swarm Optimization (PSO), Swarm Intelligence (SI), Nature-Inspired Computing, Structural Pattern Recognition, Data Mining""546805,""Ahmed, Maher"
"567583"	"Alajaji, Fady"	"Joint Source-Channel Coding Theory with Applications to Wireless Communication Networks"	"In this application, we seek funding to continue our research program in information theory and wireless communications. The research program concerns the development of advanced joint source-channel coding (JSCC) technologies for improving the reliability, connectivity and speed of wireless communication networks and meeting the rapidly growing demand for seamless and ubiquitous wireless multimedia services. JSCC provides the right approach to construct the best codes for the efficient transmission of data sources over noisy channels, particularly under stringent delay and complexity constraints, and for multi-user networks where Shannon's principle for the separation of data compression and channel coding fails to hold in general. Building on our experience and extensive achievements in JSCC, we will focus on the following three interconnected research thrust areas: (1) The investigation of the fundamental information-theoretic limits, namely capacity and JSCC error exponent, for coding and transmitting information over multi-user networks and recovering it with negligible loss; (2) The development of sophisticated but analytically tractable discrete channel models to judiciously represent the behavior of wireless (correlated fading) networks used with multiple antennas and soft-decision demodulation; (3) The design, construction and analysis of powerful low-complexity JSCC techniques for wireless networks, with applications to wireless multimedia communications and energy-efficient sensor networks. The proposed research will feature the rigorous training of eight highly qualified personnel per year (3 doctoral, 2 Masters and 2 undergraduate students, as well as one postdoctoral fellow), immersing them in timely challenging topics in information theory and wireless communications and resulting in innovative high-quality publications. The results of this research program are anticipated to provide a deeper understanding of both the fundamental principles and the practical aspects of JSCC, thus positively contributing to a sustainable improvement of wireless communications and multimedia technologies.""567417,""Alam, Jahrul"
"555732"	"Altawy, Riham"	"Design and Analysis of Authenticated Encryption Schemes"	"Cryptography, Symmetric primitives, Information Security, Authenticated Encryption, Differential cryptanalysis, Cryptanalysis""546802,""Altenhof, William"
"567895"	"An, Aijun"	"Online Mining of Big Data Streams Using Cloud Computing"	"In a world where data are growing at extraordinary rates, there is huge demand for fast and effective analysis of big data to discover useful information for making business decisions. This research program tackles the problem of discovering useful information from big data streams. Big data streams, characterized by high volume and high velocity, have become ubiquitous as many sources (such as social networks, sensor networks and financial markets) produce data continuously and rapidly. Effectively and efficiently discovering patterns from such massive and fast-evolving data will allow businesses to quickly react to their dynamically changing environment to, for example, perform fraud detection at a point of sale, determine which ad to show, or detect spam in comments on news in which trends change quickly in time. Many challenges exist in discovering useful information from big data streams. To handle very fast data, systems have to process the data as fast as the arriving data. However, most existing data stream mining methods are sequential algorithms that run on a single machine and are limited by the memory and speed of the machine. To mine massive data, parallel and distributed computing over a cloud of computers has become a mainstream solution to achieve low latency and high scalability, and MapReduce has become a popular programming paradigm for easily writing applications that process massive data in parallel in a fault-tolerant manner. However, converting a stream mining algorithm into an online parallel MapReduce-style algorithm poses challenges. Most learning algorithms are highly sequential. Parallelizing such algorithms needs considerable efforts and may require the design of new algorithms. In addition, in stream environments, data flow into the system at a rate over which we have no control. The processing system must keep up with the data rate or degrade gracefully. Resource adaptive online learning with bounded approximation is highly needed, which has not been addressed adequately in the MapReduce-style data processing model. To address the above challenges, we will develop parallel versions of stream-mining algorithms using MapReduce-style distributed stream-processing platforms. We will build on our previous and on-going research in data mining and parallelize the stream-mining algorithms that we have developed recently, which include, but not limited to, classification rule learning, high utility pattern mining, and Monte Carlo based learning algorithms. In addition, we will develop resource-adaptive techniques for learning from big data streams. Adaptive data structures and anytime learning algorithms will be developed that can produce best possible answers under resource constraints and can utilize the extra time and memory, if given, to increase the quality of the answers. Moreover, we will identify the pros and cons in developing parallel stream mining algorithms using the state-of-the-art MapReduce-style stream processing platforms and provide feedbacks to the community as to what is further needed in these platforms for them to better serve online learning of big data streams in the cloud. Mining big and fast data streams using cloud computing is still in its infancy. The proposed research will advance the field by proposing novel solutions to its open challenges and will have a wide range of applications in various fields that produce massive data streams.""556476,""An, Aijun"
"566599"	"Azana, Jose"	"Rethinking the fundamentals of photonic signal processing for ""green"" communications and computing"	"The implementation of photonic circuits for temporal signal generation, processing, and detection in information and communications technology (ICT) systems is generally envisioned as an extremely promising approach to overcome the speed limitations of present electronics-based solutions. The bandwidth advantage of photonics is especially attractive to cope with the ever-increasing demand for “higher capacity at a lower cost” in high-speed telecommunications, information processing and computing platforms. However, photonic solutions still suffer from two main limitations, namely 1) they are typically bulky and 2) they are “power hungry”, preventing the practical use and spread of photonic signal-processing technologies beyond a few niche applications. Significant progress has been made concerning size reduction of photonic structures, through successful device implementations in compact fiber-optics technologies, e.g. fiber Bragg gratings, or in integrated-waveguide configurations, most prominently CMOS-compatible photonic chips. Such footprint improvements in turn have had a positive impact on the energy performance of photonic signal-processing technologies. In spite of this progress, present photonic signal-processing designs intrinsically use much higher amounts of energy than competing technologies (e.g. electronics), and very little effort has been devoted so far to improving their performance in terms of energy efficiency. The research program described in this proposal will focus on the design and realization of photonic signal-processing devices for efficient generation, manipulation, and detection of ultrafast data and control signals, of fundamental importance for broadband telecommunications, and high-speed information processing and computing. The distinctive focus of the program will be on defining innovative, general strategies for optimizing the energy efficiency of the target photonic circuits without trading their processing speed advantage. Particularly, we will pursue the realization of the target circuits in fiber-optics and/or integrated waveguide (silicon photonics) technologies, with an emphasis on fiber/integrated grating structures. The novel design strategies to be investigated will be capable of providing dramatic (orders-of-magnitude) improvements on energy performance over present technologies at processing speeds well beyond the reach of electronics, above the THz range. Sub-systems to be pursued in the mid to long-term will include ‘on chip’ reconfigurable circuits for optical linear filtering, arbitrary optical waveform generation and detection, and ultrafast analog and digital computing. In the short-term, activities at the core of the program will be conducted around four inter-related research projects, involving the development of (a) energy-optimized analog optical signal processors, (b) “green” noiseless waveform amplification methods, (c) “zero-energy” ultrafast optical logical gates, and (d) energy-optimized circuits for ultrafast clock recovery, generation and processing. The outcome of this research could open the path to the use of photonic signal-processing solutions at a much larger scale, directly contributing to overcome present electronic bottlenecks in almost any application or sector relying in ICT infrastructure. The new knowledge generated from this program and the training of highly qualified personnel (HQP) in the targeted strategic areas will contribute to enhance Canada's global competitiveness across a very wide range of high-technology sectors.""554503,""Azana, Jose"
"566837"	"Aziz, Hany"	"Exciton-induced Degradation of Interfaces in Organic Optoelectronic Devices"	"The last two decades have witnessed a strong interest in organic semiconductor-based optoelectronic devices for utilization in various applications including solid state lighting, flat panel displays and solar cells. This interest is motivated by a number of key advantages that organic semiconductors have, such as (i) the possibility to obtain light emission in a wide range of colors (ii) easier and cheaper fabrication including the ability to fabricate them on different substrates and in large areas, and (iii) their unique ability to realize mechanically flexible and transparent devices for next generation electronics. Despite their advantages, devices utilizing these materials, such as Organic Light Emitting Devices (OLEDs), Organic Solar Cells (OSCs) generally have lower durability in comparison to those based on traditional materials. We recently discovered that exposure to light, either from external sources, as in case of OSCs, or to light produced by the device itself, as in case of OLEDs, causes significant changes in these devices, especially at interfaces between different materials. This previously unknown phenomenon appears to be responsible for the fast deterioration in efficiency in these devices.  The proposed research aims to uncover the factors behind this phenomenon and to develop approaches to control them, thus improve device service life. The research will utilize a number of experimental techniques pioneered by the applicant and will build on findings from his previous work in this area. Seven graduate students will participate in this research. The research results will be critical for future development of more stable OLEDs and OSCs, which will be pursued in collaboration with Canadian industrial partners. It will, therefore, provide those partners with a competitive edge in an emerging technology of tremendous potential for next generation electronics and energy conversion devices. The research will also allow training of a new “breed” of Canadian researchers who will acquire expertise in an emerging technology that has the potential to enable new products and market opportunities.""556555,""Aziz, Hany"
"567160"	"AzzedineBoukerche, Azzedine"	"Towards the Design of error-free and scalable spatial temporal localization protocols for heterogeneous  Wireless Sensor Networks"	"In recent years, 3D heterogeneous wireless sensor networks (HWSN) have received a great deal of interests due to their growing potential use in the design of future generations of monitoring, surveillance, safety and security systems. In these kinds of networks, battery-powered autonomous and heterogeneous sensor and actuator devices which are deeply embedded into the physical surroundings are equipped with different sensing, computing and wireless communication capabilities. These autonomous devices collaborate with each other in order to gather, process and disseminate valuable information, as well as to report the collected information to a central server for further analysis, and making them accessible to interested third parties. HWSNs applications include: planetary exploration WSNs, unmanned aerial vehicle (UAV) WSNs, underwater WSNs, monitoring and control of oil-wells, monitoring of habitat and of active volcanoes, EOFS (Environment Observation and Forecasting System) applications, precision agriculture, battlefield monitoring, weather detection, wild animal protection, healthcare and supply chain management applications, and some other monitoring critical area that are inaccessible to humans, as well as emergency preparedness and rescue applications. Several of these critical applications can be more dependant on the 3D localization system than others, where sensors can be deployed in 3D Surface based environment. The relevance of sensory data and the knowledge of the real-time positions of remote sensor nodes can be very critical in these cases where correct events’ interpretation can life-saving. Thus, sensed events must be ordered both in time and space and proper communication and localization techniques in space and time are required to achieve high accuracy and efficiency. This research proposal aims to explore both the theoretical and practical aspects of spatial and temporal localization in HWSNs. We will concentrate primarly on the design and evaluation of a novel suite of scalable, accurate and efficient spatial-temporal localization protocols to foster the integration of space, time, surface, communication and environmental context into the heterogeneous wireless sensor networks in order to provide the sensed data with both time and position information at anytime and location for any 3D HSWN based applications. The PI is responding to the growing demands of complex 3D heterogenous wireless sensor networks over different kind of 3D surface environment due their wide range of potential applications. The vision of this research in a long-term is to design efficient spatial temporal localization management protocols for multipurpose mult-dimensional HWSNs.""561198,""Azzi, Estelle"
