"id"	"researcher_name"	"application_title"	"application_summary"
"525483"	"Abidi, SyedSibteRaza"	"An Agile Semantic Web Platform for Knowledge-Centric Decision Support"	"Knowledge-based decision support systems provide situation-specific strategic recommendations to assist users to (a) make sound decisions in complex situations to achieve quality outcomes; and (b) plan a course of actions to achieve optimal efficiency. The objective of this research program is to develop knowledge management tools to help the computerization of paper-based knowledge so that one can derive knowledge-based decision support. The knowledge management tools are to be applied to the domain of healthcare which is facing a number of knowledge gaps in the delivery of healthcare. The intent of the project is to computerize clinical guidelines to develop disease-specific decision support systems for healthcare practitioners so that they are able to provide evidence-based care services.  The project will help enhance our ability to dynamically update and interconnect knowledge resources to offer up-to-date and 'complete' knowledge that in operation will have a profound impact on the awareness, response, competitiveness and readiness of individuals, industry and institutions. From the healthcare perspective, the research directly contributes to the provision of evidence-based chronic disease management.""525484,""Bisaillon, Martin"
"525497"	"Abolmaesumi, Purang"	"Intuitive Guidance for Intervention and Diagnosis with Enhanced Ultrasound (i-Guide-U)"	"Spinal needle injections are widely applied for anesthetic purposes: for surgery, for the relief of back pain, and for epidurals in obstetrics. More than two million North Americans undergo these procedures each year. However, about 60,000 patients per year experience complications associated with inaccurate placement of the needle. These complications have three consequences: (1) an increase in pain, anxiety and the length of hospital stay, (2) a small number of patients will suffer temporary or permanent neurologic deficit, and (3) the perceived risk inhibits more widespread use of spinal needle injections. To improve patient outcomes, several ultrasound-guided techniques have been proposed for more accurate placement of the needle. However, anesthesiologists experience poor quality depiction of anatomical features and difficulty in interpreting images, preventing ultrasound from becoming the standard-of-care.My proposal introduces intuitive guidance for intervention and diagnosis with enhanced ultrasound (i-Guide-U) technologies that augment computer models derived from other imaging modalities to improve the quality of ultrasound images and enhance interpretations. For the first time, it combines medical image registration and ultrasound tissue typing to dramatically improve ultrasound image formation quality based on the knowledge of the underlying anatomy. These methods will be integrated and evaluated in the context of spinal needle injection for improved visibility of critical anatomical structures and targeting. This program will train two PhD, five MSc and five undergraduate students in leading edge biomedical engineering research.""525498,""Boudreau, François"
"526339"	"Aboulnaga, Ashraf"	"Systems and Algorithms for Big Data Analytics"	"Analyzing massive data sets to extract knowledge and gain insights has become a cornerstone activity in business and science. This area of research is known as Big Data analytics, and it has become a fertile ground for research and innovation. Businesses now own petabyte-scale data warehouses that are accessed on a regular basis to perform complex analytics, and scientific discovery in many fields has also come to rely on sophisticated analysis of Big Data. The importance of Big Data is illustrated by the April 2012 announcement that the US government will invest US$200 million in research activities in this area. Canada will similarly benefit from research into this area, and it is in Canada's interest to be at the forefront of such research.          The long-term vision of my research program is to develop a powerful and easy-to-use platform for Big Data analytics, plus a suite of algorithms for different application areas that run on this platform. To realize this vision, this grant application proposes research to improve the manageability and tuning of Big Data analytics platforms, focusing initially on Hadoop, one of the most popular systems for Big Data analytics. On the algorithms side, I will develop algorithms for graph and matrix problems, two types of problems that arise frequently in scientific computing.          The proposed research will advance the state of the art in an important and highly competitive area. The research will raise Canada's profile as a technical leader and produce solutions that are useful to Canadian industry. The requested funds will directly support the training of several students. Providing highly qualified personnel in the area of Big Data analytics is very important since there is a significant shortage of skills in this area. For example, the McKinsey Global Institute forecasts that the US will face a shortage of 140,000 to 190,000 employees with Big Data skills by 2018. Canada will likely face a similar shortage. Thus, the proposed research will provide highly qualified personnel with skills of great value in different sectors of the Canadian economy, and will address a significant anticipated shortage in the Canadian labour market.""526340,""Biddle, Robert"
"524085"	"Affes, Sofiène"	"Enabling Radio Access Strategies for Pervasive and Smart Applications of Wireless in the New Digital Economy"	"Wireless communications lie today at the very heart of many key applications that strongly impact most aspects of our daily life. Fundamental paradigm shifts are yet expected due to ongoing developments in wireless. These paradigm shifts shall allow communication infrastructure to self-organize seamlessly for optimized spectrum-, cost- and energy-efficiency. In the new realm of the internet of things (IoT), they shall also enable communication links to take place not only between persons, but also between smart machines (such as home appliances), devices and vehicles (M2M/D2D/V2V), connections due to reach tens of billions by 2020. These paradigm shifts are poised to enable truly smart communications in the future.  Parallel developments in wireless due to successful integration with new sensor and radar systems have recently sprang the emergence of new smart monitoring applications in health, environment, safety, security, etc. And cross-fertilization between smart communications and monitoring allow wireless to stand today as a crucial enabler of future applications in smart management of power grids, vehicles, homes, cities, etc. Due to their increasing pervasiveness, these three smart applications of wireless (communications, monitoring and management) are deeply shaping today the 21st-century digital economy. The  short-term objective of this research program is to tackle the transformative challenges smart communications will shortly face at the radio access level in its current shift from installation (communications for communications) to deployment (communications to the service of new applications). In order to meet the expected data crunch, we seek to devise novel radio access strategies that enable truly smart communications by rethinking some of the key technical drivers foreseen today within the context of HetNet virtualization at both PHY and MAC layers. Virtualization is a fundamental paradigm shift that is pledged to push these strategies to a full-fledged scale of flexibility, manageability and efficiency in cost, spectrum and power. By achieving this immediate goal, the long-term objective of this program is to enable pervasive and smart applications of wireless in the 21st century digital economy.""524086,""Masmoudi, Radhouane"
"533251"	"Agamy, Mohammed"	"Distributed DC-DC Converter Architectures for Renewable Energy Harvesting"	"Distributed DC architectures provide several added benefits to renewable energy harvesting systems. Among these benefits are the higher energy yield, increased system reliability  and power throughput, provide better system monitoring and diagnostic capabilities as well as more flexible system design. High frequency power conversion has been limited to low power applications. However, with the advances in electronic, magnetic and dielectric materials, there is a prime opportunity to establish new limits of operation for these converters. This program will focus on developing novel modular high frequency power converters for renewable energy harvesting applications with specific focus on wind and solar applications. Since high efficiency in addition to high power density are key design requirements, the application of resonant power converters as well as using silicon carbide diodes and/or switches will be investigated along with the design requirements imposed on the medium/high frequency transformers for these applications. Converter fault resilience, as well as energy storage requirements for ride-through support will also be investigated. Multiple interconnected converters in the DC collection grid provide more control flexibility, where converter modulations can be coordinated to optimize overall power conversion system efficiency and dynamic response. The key novelty and main outcome of this program is will be: (i) The development of a family of new modular high voltage high frequency power converters that can be easily installed up-tower in wind turbines. (ii) System level analysis for the integration of a large number of power converters connected in series and/or parallel and the effect of these interconnections on system operation. (iii) Architectures for large-scale solar plants that are  directly tied to medium voltage grid without the need for bulky line frequency transformers.The proposed research will give Canadian industry a competitive edge in modular DC architectures, which can be adopted in different applications, such as renewable energy harvesting, electrification of transportation systems, sub-sea oil and gas and radar power supplies.""533252,""Foster, Stuart"
"520417"	"Ahmadi, Majid"	"Low Power, Area Efficient, High Speed Algorithms and Architectures for Computer Arithmetic, Pattern Recognition and Cryptosystems"	"The objectives of the proposed research are:(a)To further extend the state-of-the-art for the Finite Field Multiplication in F(2**m) for applications to elliptic curve cryptography. We will look at implementation for the proposed architectures as ASIC at the transistor level to reduce power consumption and to improve speed.  We will also look at GPU configurations as a paradigm for implementation of our proposed architectures.(b)To further extend the state-of-the-art for the design, implementation and application of arithmetic circuits using the Continuous Valued Number System (CVNS).The application of this number system for multi-layer neural networks will be investigated. A thorough evaluation of the resulting next-generation circuit designs and their comparison with current state-of-the-art binary designs will be carried out.(c)To further develop robust and low error rate algorithms for pattern recognition applications. Specifically we are interested in applications such as human face recognition using new feature extractors and classifiers.  We are looking into developing algorithms for face recognition under occlusion, varying or poor illumination and low resolution. We will be looking at the optimization of these algorithms for implementation on both GPU, for high speed operation, and low-power architectures. We shall further explore the development of new algorithms for face recognition with 3-D images. The development of algorithms and architectures that can support a face recognition capability on cellular smart phones that can be used to optimize functionality, security and power management based on visual cues will also be investigated.This research is considered significant as further progress in a number of diverse application areas beneficial to Canada is contingent upon developing competitive low-cost, low-power, high-speed area efficient DSP algorithms and architectures that enable synergy.""520418,""Cherney, Edward"
"522959"	"Aïmeur, Esma"	"Learning in the age of exposure"	"We live in an age of exposure, in which it is considered normal for a vast segment of the population to casually disclose their lives on social media, sometimes with disastrous long-term consequences. However, privacy-protection concerns should not hamper the benefits that a society of sharing can bring, a delicate balance indeed. Can we capitalize on this situation in order to foster a better e-learning environment? In this research program, we propose to address the various privacy, publicness and ethical issues inherent to e-learning in a platform that includes a social media environment. Our first purpose is to design a framework in which students as well as instructors are guided through a process that will help them understand and define their privacy and publicness needs and then build a community of trustworthy co-learners who share interest in their subjects of study. This will allow us to implement and validate a platform that corresponds to this design. Throughout the process, students will be protected against potential malicious actions (such as illegitimate access to personal data and tampering with such data), not only from their peers and the outside world, but also from malicious course instructors. Conversely, students are prevented from illegitimately tampering with their own records. We propose to develop two agents called contact manager to help a student through the entire learning process and vigilance manager to help the instructor keep careful watch for possible dangers and misbehaviour. This system sifts through social media such as Facebook, Twitter and LinkedIn in order to build and maintain a growing community of users eager to learn and share in various fields of study. A personalized environment of co-learners is distilled for each individual student, initially under the suggestion of the contact manager but increasingly under the personal control of the student as he progresses not only through his study but also in his awareness of privacy, publicness and ethical issues. Similarly, the vigilance manager help the instructor manage his contacts with the students in his course, the other students in the platform, and the other instructors. This program will culminate with the realization of a proof-of-concept implementation.""522960,""Anctil, François"
"525062"	"Alhajj, Reda"	"Effective and Efficient Data Analysis Techniques for Emerging Data Intensive Applications"	"Recent developments in the technology from handheld devices to sensors to surveillance to microarrays to the wide availability of the Web (e.g., social media, social networking, internet of things, click stream, etc.) allow for electronically capturing, collecting and maintaining huge volumes of structured and unstructured data leading to big data repositories. Example data sources include logs and transactions related to information retrieval via Web access, to e-commerce such as click streams and retail purchases, on-going events such as weather and stock market status, social interactions such as social media and social networking, monitoring systems such as traffic control, fraud detection, and homeland security, and so on. Such data is recognized as a valuable resource for knowledge discovery leading to effective decision making. Yet this can happen only if these large volumes of data can be processed and analyzed effectively, which is increasingly problematic to do by conventional means. Sometimes the data could be skewed where the number of data instances is small compared to the huge number of features like having hundreds of samples and thousands of genes; this could be fixed by data enrichment. In addition, real data generally suffers from various other interrelated problems that require dealing with dimensionality reduction, missing values and noise, scalability under limited computing power (i.e., using commonly available computers), data modeling and integration to uncover specific semantics (e.g., capturing and monitoring behavior and trend in social media data to allow for better recommendations), etc. These problems cannot be treated in isolation and hence there is a need for an integrated framework capable of handling any combination of these problems when present in the data.The main objective of this research program is leading to effective and informative knowledge discovery by developing a framework which integrates efficient and robust network modeling, data mining and machine learning techniques. Students will be involved in various parts of the methodology from developing the necessary theory and algorithms to implementing and testing them.""525063,""Dragicevic, Suzana"
"533797"	"Ashlock, Wendy"	"Ontario"	"CANADA"
"525262"	"Baljko, Melanie"	"Embodied Interaction Design for Articulation Elicitation and Feedback"	"An increasing number of computer science graduates, as part of their employment, will become members of collaborative teams that are tasked with the development of interactive systems.  The increasing accessibility of tools for digital media and software creation means that interactive systems are being developed for a variety of new domains and applications.  The process of designing an interactive system that effectively accomplishes its objectives (such as to provide a certain type of user experience or to support learning) requires a multi-disciplinary repertoire of skills and capabilities.  Increasingly, these systems go beyond mouse-and-keyboard interaction and use gestural or whole-body interaction (using sensor-based input).  The development of such systems requires specialized knowledge about embodied interaction.  In addition, such systems are most often developed iteratively, with a strong reliance on formative, empirical user evaluation at intermediate phases, and thus require specialized knowledge about evaluation methodologies.This program of research will investigate how the usability of articulation feedback systems is impacted by (1) the use of metaphorical, as opposed to realistic, visual representations of the vocal tract and (2) graphical perspective.  Graphical perspective refers to the point of view with which a visualization is shown (such as from the embodied point of view that an in-world agent has or from a disembodied and more encompassing point of view). We will examine several aspects of usability, including the task outcome (effectiveness), the effort required to accomplish task outcomes (efficiency), and qualities of user experience, such as satisfaction and enjoyment.    We will focus on users who are older adults.  In undertaking this work, we will develop multiple new variants of interactive systems that will use electromagnetic articulography in order to track in real-time the user's tongue position during the production of speech sounds.   This work will emphasize the importance of iterative design and on-going empirical testing and evaluation.""525263,""Buro, Michael"
