"id"	"researcher_name"	"application_title"	"application_summary"
"427364"	"Abhari, Ramesh"	"Enabling ultra wideband applications through innovation in design of interconnects, passive elements, and antennas"	"Electronic industry has dramatically advanced growth during the past few decades but still struggles to achieve the extreme specifications needed in many emerging applications that require ultra-wide band and high-speed signal transmission. The passive back bone of electronic system including interconnects and passive components have been identified as the main factors limiting system performance. Recently published technology roadmaps acknowledge the bandwidth limitation of interconnects and call for dramatic solutions to enable development of next generation electronic systems. In this proposal, an alternative solution for signaling in electronic systems by using bandpass interconnects instead of the conventional lowpass ones is proposed. These bandpass interconnects include substrate integrated waveguide-type structures, wireless interconnects that use antennas for launching and retrieving information and AC coupled interconnects that employ capacitive or inductive coupling for signal transfer. The bandpass feature of these interconnects brings new system capabilities such as wider bandwidth and lower transmission losses for the case of waveguides, and reduced delay and flexibility for the case of wireless interconnects. The AC coupled interconnects provide promising compact system integration capabilities. Each group opens new directions of innovative research for increasing data handling capacity of electronic systems. In this research program, system design considerations such as customizing driver and receiver blocks, dispersion compensation and signal and power integrity evaluations will be investigated. Development of enhanced passive components and integrated antennas, their miniaturization and signal integrity evaluations form another thrust of this research program. Electromagnetic bandgap structures continue to be a key element in engineering new components and power integrity solutions. The ultimate goal of this research is to address the design challenges in deployment of ultra wideband electronic systems. ""427048,""Abid, ZineEddine"
"427413"	"Abugharbieh, Rafeef"	"Novel paradigms for computational analysis for structure and function in medical images"	"Over the past two decades, medical imaging has become one of the main pillars of modern healthcare. The increasingly rich spectrum of available structural and functional imaging technologies provides exquisite medical data that offer tremendous opportunities for non-invasive visualization and quantitative analysis of anatomy and physiology. Applications, some of which are clinical realities, vary from basic computer-assisted diagnostics to elaborate image-guided interventions. Exploiting the enormous amounts of information embedded in such medical image data is, however, a very complicated task. In fact, the lack of efficient, accurate, and robust computational analysis techniques poses huge challenges that seriously hinder optimal extraction and use of image information in practice. The main objective of this research project is to advance the field of in-vivo imaging-based characterization and monitoring of human health. Specifically, it aims to enable quantitative assessment of morphology and function and to facilitate better understanding of the effects of various diseases and therapies. This will be achieved through the development novel techniques for automated analysis of anatomical and functional regions of interest, particularly in magnetic resonance imaging (MRI) and functional MRI (fMRI) data. The applications targeted will focus on neurological (brain) and musculoskeletal (knee and hip) imaging. Advancing research applications in these important areas has tremendous impact and benefits to large sections of the population, considering our aging demographics where diseases like Parkinson's, stroke, and arthritis, are common, debilitating, and constitute a large fraction of the healthcare burden.  ""429757,""AbuGhazaleh, Haitham"
"427235"	"Adams, Carlisle"	"Techniques for secure and private interactions in online environments"	"Online environments are communities of interest whose interactions take place primarily, or perhaps exclusively, over communications infrastructures (including wired and wireless Internet, telephone, and sensor networks). Examples of online environments include e-health, e-government, e-business, e-commerce, and e-learning. Security and privacy are essential services that must be tightly integrated with the design and implementation of such environments.This research program will focus on the use of combinations of cryptographic and non-cryptographic techniques to create security / privacy technologies that are effective and that can be widely deployed. Three areas are of particular interest: access control (making use of policy-based cryptography), credential infrastructures (making use of anonymous proofs of attribute ownership), and secure electronic voting (making use of end-to-end verifiable e-voting technologies). In all three areas, the concepts are built on firm underlying mathematics and proofs of security, but questions of efficiency, usability, and abuse prevention still need to be explored for a number of environments, as well as determination of appropriate infrastructural components and operational procedures.Our approach will be to combine cryptographic techniques with policy infrastructures, biometrics, authorization mechanisms, semi-trusted hardware, and other technologies to create deployable solutions for specific environments.""441302,""Adams, Carolyn"
"420166"	"Agathoklis, Panajotis"	"Multidimensional system design and implementation"	"Multidimensional systems are used to process signals which have more than one independent variable.  They have applications in space-time processing, image and video processing.  The proposed research focuses on the following problems:1. Beamforming and Direction of Arrival Estimation:  Algorithms for Direction of Arrival (DOA) Estimation will be developed for broadband applications such as ultra wideband communications or speech detection using sensor arrays.  The approach will be based on using subarray beamforming which estimates the DOA from the phase difference between a reference signal and its phase shifted version.  The proposed approach is expected to lead to a computationally simple DOA estimation technique for broadband signals.2. Multidimensional Filter Design and Implementation: Design techniques and implementation efficiency with respect to computations and roundoff errors for multidimensional (2-D and 3-D) filters will be studied and evaluated. The possible application areas to be considered are filtering of broadband signals propagated by plane waves and filters for video standards conversion.3. Applications of Image Registration: The work of the applicant and his students on image registration will continue by focusing in the application of a new and efficient image registration technique to possible applications such as content based image retrieval.""424889,""Agbossou, Kodjo"
"427394"	"Ahmed, MohamedHossam"	"Design and analysis of cooperative-diversity wireless networks"	"There is a growing demand for efficient techniques for next generation wireless systems. Hence, it is timely to address new technologies that can revolutionize wireless communication systems in terms of transmission rates and quality of service. Cooperative diversity is a very promising technology which is expected to be one of the underlying technologies for future wireless systems. The main concept of cooperative diversity is that intermediate nodes between the source and destination nodes can forward the source signal to obtain multiple copies of the same signal at the destination. Combining these multiple copies can bring many benefits such as better signal quality, improved coverage and higher capacity. However, cooperative diversity also brings some challenges and complexities. The main issues to be addressed in this program of research are the following:1) Novel cooperation and relaying techniques 2) Cross-layer resource allocation algorithms for cooperative-diversity networks3) Synchronization and channel estimation in cooperative-diversity networks4) Incorporating cooperative diversity in existing and emerging wireless systems5) Developing policies and incentives to encourage users cooperationThe study will start with defining a framework for cooperative-diversity networks. Next, the main challenges will be identified. Novel techniques and algorithm will then be proposed. Then, the proposed algorithms will be analyzed using computer simulation, analytical methods and experimental work. Results from this research are crucial for gaining deeper insight into the cooperative-diversity concept. Also, the results can be utilized to facilitate its adoption in existing and future wireless systems. In addition, this research will enable the training of several graduate and undergraduate students.""420367,""Ahmed, Nasiruddin"
"431880"	"Aiello, William"	"Enterprise security"	"It is a truism that the Internet has become integral to nearly all aspects of modern life, from science to  entertainment, from government to industry, from the economy to our culture.  But while the open architecture  of the Internet has been the chief enabler of it's explosive growth, this same openness, combined with the  abundance of insecure commercial software installed in end-hosts, has provided attackers with a nearly  inexhaustible supply of vulnerable hosts to exploit, either as primary victims or as intermediate steps in a chain of exploits.  These threats comprimise the safety and integrity of commerce and activity on the Internet.   We propose here research into techniques and tools for enterprises to better secure their networks, hosts, and data resources.  Two themes recur throughout this research.  The first is an emphasis on the anomaly detection approach rather than the misuse detection approach.  In the later, models are made of illegitimate traffic and alarms are raised when traffic or  behaviour matches a model.  In the former, a model is made of legitimate traffic and an alarm is raised when traffic or behaviour deviates from the model.  The majority of security tools rely on misuse detection as there is a wide-spread belief that the behaviour of computing systems are too complex to model for use in anomaly detection.  Two of the projects described in this proposal involve modelling complex domains.  The second  theme is an emphasis on measuring and improving the tradeoff between security and usability/availability.""437668,""Aikens, Kathleen"
"422917"	"Alajaji, Fady"	"Joint source-channel coding theory with applications to wireless communication networks"	"In this application, we seek funding to continue our research program in information theory and wireless communications. The research program concerns the development of advanced joint source-channel coding (JSCC) technology for improving the reliability, connectivity and speed of wireless communication networks and meeting the rapidly growing demand  for seamless and ubiquitous wireless multimedia services. JSCC provides the  right approach to construct the best codes for the efficient transmission of data sources over noisy channels, particularly under stringent delay and complexity constraints and for multi-user networks where Shannon's principle for the separation of data compression and channel coding fails to hold in general. Building on our experience and extensive achievements in JSCC, we will focus on the following four research objectives: (i) the information theoretic investigation of the JSCC error exponent for multi-user networks; (ii) the development of sophisticated discrete channel models to judiciously represent the behavior of soft-decision demodulated correlated fading multi-antenna channels; (iii) the design and analysis of powerful low-complexity JSCC techniques for wireless networks; (iv) the application of the above JSCC methods to wireless multimedia communications and sensor networks.This research project, which will feature the training of five graduate students (3 doctoral and 2 Masters) and one postdoctoral fellow per year, is anticipated to provide a deeper understanding of both the fundamental principles and the practical aspects of JSCC, thus positively contributing to a sustainable improvement of wireless communications and multimedia technologies.""434899,""Alam, Jahrul"
"424803"	"Alencar, Paulo"	"Recombinant and evolutionary high-level software architectures: Design, integration, evolution and analysis"	"One of the fundamental goals of software engineering is to enable predictable and modular construction and evolution of software systems by assembling software architecture components. However, due to the increasing complexity, distributed, and dynamic nature of current information systems, undetected integration failures from internal violations may be ultimately revealed only as costly accidents that often cause undesirable system crashes. In addition, interface and configuration issues frequently arise from misunderstanding, incompatibilities, or differences resulting from independent development practices, heterogeneous environments, or different vendors. As a result, since maintaining and changing this class of (Web-based) distributed and dynamic software systems usually requires the examination and modification of components and component interactions, system integration becomes difficult to maintain as system components are extended or upgraded. The main goal of this project is to define and evaluate a new recombinant and evolutionary software architecture approach, and supporting methods and tools, for component-based design, integration, evolution, and analysis. The approach is based on formal abstract models of distributed event-based recombinant components, extended component interfaces, concern and process-based evolutionary extensions, and integration and evolution contracts that can provide a more expressive definition of component-based system design representations and an enhanced analysis of the interaction of architectural components, their extended functionality and behavior, and their compositions.  In a general way, the results of this research can impact individuals or (Canadian) organizations that are struggling to produce large, complex (dynamic) systems and applications, and can help push the drive to improve productivity, software quality, reduce maintenance overheads, and impact on the establishment of a marketplace of contract-based software components. In addition, we are convinced that providing a non-ad-hoc and comprehensive component integration and evolution theory and its automated support will radically improve software engineering efforts.""442443,""AlEnzi, Mustafa"
"425402"	"An, Aijun"	"Resource-adaptive learning of classification rules from data streams"	"With the recent advances in hardware and software, data streams have become ubiquitous as many sources produce data continuously and rapidly. Mining data streams is to extract knowledge structures or patterns in a non-stopping stream of data. Such patterns can be used for effectively monitoring, analyzing and predicting the changes in the application environment where the data stream is collected. Over the past few years, models and techniques have been proposed to extract patterns from data streams. However, many open issues still remain in data stream mining.     The main objective of the proposed research program is to provide solutions to the open issues in data stream mining and develop a resource-adaptive framework for learning classification rules from data streams. We will work on the following issues. An efficient data structure will be designed that aggregates the data on the fly by making trade-offs between memory consumption and accuracy according to resource conditions. We will develop anytime rule learning and classification algorithms that can produce a best possible answer according to the real-time constraints. We will also systematically investigate the types of concept drifts and develop methods for detecting and handling different types of concepts drifts. In addition, we will design dynamic online discretization methods for use with rule learning from data streams.     Mining data streams is still in its infancy state. The proposed research program will advance the field by providing solutions to its open challenges. Although we focus on classification rule learning in this research, the proposed data structure and algorithms can be adapted for use in other data stream mining tasks. With the growing proliferation of handheld devices, mobile phones, wearable computers and tablets, it becomes ever more important to develop online resource-adaptive data mining systems to assist people in decision making. The techniques developed in this research program will have a wide range of applications in areas such as networking, telecomminucations, scientific experiments, finance and medicine.""432352,""Anaka, Matthew"
"425356"	"Anderson, John"	"Flexible team formation and task allocation for multi-robot systems in complex domains"	"The exploration of an unknown environment to gather information (e.g. mapping) is a problem naturally suited to the use of multiple intelligent robots. In highly challenging and dangerous environments such as urban search and rescue (USAR, where robots are used to search for human victims after a disaster) significant benefit derives from using robots with differing motor, sensory, and control abilities (heterogeneous robots). While a robot might find a crevasse it cannot enter, another team member might be small enough to move through this, for example.  Similarly, different terrain is amenable to different robot types (e.g. humanoid vs wheeled).  In such domains robots must also be considered expendable, meaning that team structure will not be static: new types of specialized robots may be called for, and robots that are lost or damaged must be replaced.  Ideally multiple teams should be released across a broad area and collaborate to build a shared map.  Existing approaches to this typically require centralized control (leaving the system vulnerable if a controller is lost), static team structures, and a shared external representation for space (e.g. GPS, which may be unavailable).  Similar issues to USAR exist in space exploration, military, and security domains, as well as area coverage tasks (e.g. robotic harvesting).  This work will involve the decentralized coordination of multiple teams of heterogeneous robots (wheeled, treaded, humanoid, and microrobots) in a USAR domain.   It will support the gradual development of a shared representation of the world and one another's abilities through local encounters between robots (without broadcast communication).  This will allow better decision making as to which tasks should be distributed to which robots (e.g. adapting to partial failure of robots, or knowing when a newly-encountered robot type might be useful).  Teams will adapt their structure as exploration unfolds, adding members to acquire new skills, for example, and removing unneeded or poorly performing members (including their leaders), allowing these to be picked up by other teams (along with the knowledge they contain). All robots will function autonomously (i.e. not rely solely on a leader) to the degree their abilities allow.""429231,""Anderson, Jonathan"
